team_size,team_A_avg_mmr,team_B_avg_mmr,team_A_civs,team_B_civs,map_name,team_A_won,civ_A_vs_B_winrate,civ_A_vs_B_certainty,mmr_gap
1,2294.0,2297.0,french,house_of_lancaster,Dry Arabia,0,42.99302473050095,0.5035908596300327,-3.0
1,2290.0,2165.0,mongols,chinese,Gorge,1,53.0236634531113,0.11294885745375408,125.0
1,2282.0,2173.0,japanese,chinese,Carmel,1,59.82142857142857,0.135038084874864,109.0
1,1958.0,2279.0,ottomans,japanese,Lipany,0,44.26508071367884,0.11686615886833515,-321.0
1,1632.0,2279.0,holy_roman_empire,english,Dry Arabia,0,51.75994368180218,0.6070729053318825,-647.0
1,1877.0,2277.0,ottomans,japanese,Dry Arabia,0,44.26508071367884,0.11686615886833515,-400.0
1,2022.0,2273.0,mongols,japanese,High View,0,51.20967741935484,0.20467899891186073,-251.0
1,1965.0,2270.0,byzantines,japanese,Dry Arabia,0,43.60056258790436,0.14352557127312296,-305.0
1,2268.0,1858.0,knights_templar,ayyubids,Gorge,1,46.70626349892009,0.19031556039173014,410.0
1,1715.0,2268.0,mongols,rus,Dry Arabia,0,49.16158536585366,0.13155603917301414,-553.0
1,1850.0,2267.0,byzantines,rus,Dry Arabia,0,57.4642126789366,0.09521218715995647,-417.0
1,2071.0,2262.0,knights_templar,mongols,Dry Arabia,0,51.84653262207632,0.5191512513601741,-191.0
1,2238.0,2275.0,malians,mongols,Lipany,1,54.19630156472262,0.06528835690968444,-37.0
1,2055.0,2270.0,chinese,mongols,Carmel,0,46.9763365468887,0.11294885745375408,-215.0
1,1482.0,2270.0,french,mongols,Dry Arabia,0,44.51840250587314,0.2667029379760609,-788.0
1,2265.0,2056.0,mongols,abbasid_dynasty,Lipany,1,51.45228215767635,0.06746463547334058,209.0
1,2063.0,2260.0,house_of_lancaster,mongols,Lipany,0,59.3597773138483,0.3015233949945593,-197.0
1,1661.0,2260.0,holy_roman_empire,french,Gorge,0,47.80401677333922,0.48182807399347116,-599.0
1,2258.0,1880.0,french,ayyubids,Lipany,1,44.64692482915718,0.08433079434167573,378.0
1,1969.0,2278.0,house_of_lancaster,mongols,Sunkenlands,1,59.3597773138483,0.3015233949945593,-309.0
1,2277.0,1769.0,order_of_the_dragon,ottomans,Enlightened Horizon,1,57.085346215781,0.12393906420021762,508.0
1,1796.0,2299.0,ottomans,ayyubids,Gorge,1,48.83720930232558,0.026224156692056584,-503.0
1,2158.0,2292.0,chinese,byzantines,Gorge,0,45.70673712021136,0.07116430903155604,-134.0
1,1875.0,2290.0,ottomans,house_of_lancaster,Carmel,0,43.88405797101449,0.1764961915125136,-415.0
1,1954.0,2287.0,japanese,delhi_sultanate,Sunkenlands,0,54.60232350312779,0.11055495103373232,-333.0
1,1916.0,2308.0,mongols,byzantines,Gorge,1,55.36205316223648,0.1075081610446137,-392.0
1,1827.0,2307.0,mongols,french,Carmel,0,55.48159749412686,0.2667029379760609,-480.0
1,2230.0,2298.0,english,mongols,Relic River,0,47.37347853939782,0.3285092491838955,-68.0
1,2027.0,2294.0,house_of_lancaster,zhu_xis_legacy,Carmel,0,55.37280701754386,0.18726877040261153,-267.0
1,2032.0,2290.0,malians,chinese,Carmel,0,51.1578947368421,0.04047878128400435,-258.0
1,2126.0,2284.0,chinese,english,Cliffside,0,46.97294976384715,0.24221980413492927,-158.0
1,2045.0,2280.0,chinese,english,Carmel,0,46.97294976384715,0.24221980413492927,-235.0
1,2138.0,2273.0,ottomans,english,Cliffside,0,49.44954128440367,0.22600652883569097,-135.0
1,2273.0,1687.0,english,malians,Enlightened Horizon,1,51.08359133126935,0.129379760609358,586.0
1,2044.0,2292.0,knights_templar,delhi_sultanate,Relic River,1,49.03036955726308,0.28618063112078346,-248.0
1,1845.0,2291.0,japanese,delhi_sultanate,Dry Arabia,0,54.60232350312779,0.11055495103373232,-446.0
1,1781.0,2290.0,abbasid_dynasty,knights_templar,Enlightened Horizon,0,43.43996291145109,0.2235038084874864,-509.0
1,1782.0,2289.0,abbasid_dynasty,jeanne_darc,Carmel,0,49.12280701754386,0.02600652883569097,-507.0
1,2294.0,2297.0,french,house_of_lancaster,Dry Arabia,0,42.99302473050095,0.5035908596300327,-3.0
1,2290.0,2165.0,mongols,chinese,Gorge,1,53.0236634531113,0.11294885745375408,125.0
1,2282.0,2173.0,japanese,chinese,Carmel,1,59.82142857142857,0.135038084874864,109.0
1,1958.0,2279.0,ottomans,japanese,Lipany,0,44.26508071367884,0.11686615886833515,-321.0
1,1632.0,2279.0,holy_roman_empire,english,Dry Arabia,0,51.75994368180218,0.6070729053318825,-647.0
1,1877.0,2277.0,ottomans,japanese,Dry Arabia,0,44.26508071367884,0.11686615886833515,-400.0
1,2022.0,2273.0,mongols,japanese,High View,0,51.20967741935484,0.20467899891186073,-251.0
1,1965.0,2270.0,byzantines,japanese,Dry Arabia,0,43.60056258790436,0.14352557127312296,-305.0
1,2268.0,1858.0,knights_templar,ayyubids,Gorge,1,46.70626349892009,0.19031556039173014,410.0
1,1715.0,2268.0,mongols,rus,Dry Arabia,0,49.16158536585366,0.13155603917301414,-553.0
1,1850.0,2267.0,byzantines,rus,Dry Arabia,0,57.4642126789366,0.09521218715995647,-417.0
1,2071.0,2262.0,knights_templar,mongols,Dry Arabia,0,51.84653262207632,0.5191512513601741,-191.0
1,2238.0,2275.0,malians,mongols,Lipany,1,54.19630156472262,0.06528835690968444,-37.0
1,2055.0,2270.0,chinese,mongols,Carmel,0,46.9763365468887,0.11294885745375408,-215.0
1,1482.0,2270.0,french,mongols,Dry Arabia,0,44.51840250587314,0.2667029379760609,-788.0
1,2265.0,2056.0,mongols,abbasid_dynasty,Lipany,1,51.45228215767635,0.06746463547334058,209.0
1,2063.0,2260.0,house_of_lancaster,mongols,Lipany,0,59.3597773138483,0.3015233949945593,-197.0
1,1661.0,2260.0,holy_roman_empire,french,Gorge,0,47.80401677333922,0.48182807399347116,-599.0
1,2258.0,1880.0,french,ayyubids,Lipany,1,44.64692482915718,0.08433079434167573,378.0
1,1969.0,2278.0,house_of_lancaster,mongols,Sunkenlands,1,59.3597773138483,0.3015233949945593,-309.0
1,2277.0,1769.0,order_of_the_dragon,ottomans,Enlightened Horizon,1,57.085346215781,0.12393906420021762,508.0
1,1796.0,2299.0,ottomans,ayyubids,Gorge,1,48.83720930232558,0.026224156692056584,-503.0
1,2158.0,2292.0,chinese,byzantines,Gorge,0,45.70673712021136,0.07116430903155604,-134.0
1,1875.0,2290.0,ottomans,house_of_lancaster,Carmel,0,43.88405797101449,0.1764961915125136,-415.0
